xtf_id;Date;Power;Inclination;Orientation;PlantCategory;ElectricityProductionPlantR
detail_219;09.11.2011;23.54;;;;18368
detail_220;29.10.2014;3.92;;;;18385
detail_221;28.08.2020;415.56;;;;11151
detail_222;03.09.2015;300.16;;;;11151
detail_223;30.10.2017;3.95;;;;19074
detail_224;01.12.2019;4.55;;;;11486
detail_225;14.07.2015;2.74;;;;19083
detail_226;05.08.2016;34.2;;;;12508
detail_227;19.09.2012;18.6;;;;12508
detail_228;01.05.2014;2.94;;;;12932
detail_229;21.08.2017;5.86;;;;11967
detail_230;30.03.2015;84;;;;19180
detail_231;17.11.2017;1.92;;;;19197
detail_232;30.11.2017;1.64;;;;19212
detail_233;23.12.2011;91.29;;;;19230
detail_234;28.09.2015;85.83;;;;19230
detail_235;12.06.2019;24.18;;;;9850
detail_236;24.09.2014;6.36;;;;19245
detail_237;05.12.2016;40.56;;;;10817
detail_238;02.09.2016;2.52;;;;19251
detail_239;27.06.2016;2.7;;;;19268
detail_240;01.12.2009;44.8;;;;19275
detail_241;01.10.2023;1.87;;;;11379
detail_242;27.05.2022;60.9;;;;9541
detail_243;29.05.2015;41;;;;18856
detail_244;10.08.2012;45.9;;;;18856
detail_245;19.12.2013;56.38;;;;18881
detail_246;29.02.2012;64.07;;;;18881
detail_247;30.09.2015;16.82;;;;18881
detail_248;25.09.2012;67.08;;;;18881
detail_249;05.02.2015;6.4;;;;18978
detail_250;05.11.2012;1.5;;;;18981
detail_251;15.05.2021;45;;;;9689
detail_252;29.09.2016;108.65;;;;12156
detail_253;04.10.2017;1.12;;;;10490
detail_254;17.11.2016;2.9;;;;10970
detail_255;02.11.2022;70;;;;9690
detail_256;24.06.2020;0.03;;;;10972
detail_257;31.03.2015;98.28;;;;19155
detail_258;09.04.2019;9.15;;;;19291
detail_259;20.04.2012;20.88;;;;11549
detail_260;04.08.2017;2.69;;;;11549
detail_261;24.12.2014;48.12;;;;10973
detail_262;27.11.2014;8.64;;;;10709
detail_263;02.02.2018;1.09;;;;12152
detail_264;04.10.2017;1.3;;;;19318
detail_265;29.09.2015;8.88;;;;9529
detail_266;01.06.2012;9.95;;;;9529
detail_267;02.03.2018;1.62;;;;19323
detail_268;31.05.2018;2.02;;;;12535
detail_269;13.03.2018;2.69;;;;19339
detail_270;08.05.2012;7.68;;;;19339
detail_271;07.03.2018;2.65;;;;12511
detail_272;22.05.2018;1.18;;;;19355
detail_273;02.02.2018;0.63;;;;10659
detail_274;02.02.2018;2.38;;;;19361
detail_275;06.12.2013;56.7;;;;19364
detail_276;31.05.2018;2.65;;;;19364
detail_277;06.01.2017;7.6;;;;9446
detail_278;20.08.2019;0.63;;;;10976
detail_279;30.09.2015;27.04;;;;19373
detail_280;30.12.2013;79.04;;;;19373
detail_281;23.03.2017;2.35;;;;19398
detail_282;28.08.2018;1.46;;;;11284
detail_283;16.07.2013;6.62;;;;11284
detail_284;25.03.2017;6.72;;;;19407
detail_285;25.10.2009;3.06;;;;19407
detail_286;20.06.2012;8.32;;;;19407
detail_287;14.09.2012;4.2;;;;12084
detail_288;06.03.2017;7.56;;;;12084
detail_289;11.12.2017;5.04;;;;19418
detail_290;29.08.2019;17;;;;10382
detail_291;30.03.2015;2.8;;;;12526
detail_292;05.12.2020;3.31;;;;10986
detail_293;06.10.2017;1.94;;;;10987
detail_294;26.02.2015;16.25;;;;20308
detail_295;26.10.2017;2.65;;;;10994
detail_296;24.03.2017;69.6;;;;10660
detail_297;15.09.2017;45.24;;;;10660
detail_298;23.03.2016;77.43;;;;21770
detail_299;03.03.2015;139.65;;;;21772
detail_300;05.10.2015;0.38;;;;10980
detail_301;21.03.2016;69.02;;;;12577
detail_302;08.09.2016;5.46;;;;19806
detail_303;25.08.2017;2.74;;;;12529
detail_304;10.12.2014;68.9;;;;19812
detail_305;21.12.2012;27.54;;;;19812
detail_306;11.09.2019;2.16;;;;11547
detail_307;01.07.2013;0.96;;;;19838
detail_308;01.07.2011;9.6;;;;19838
detail_309;01.08.2015;3.3;;;;19838
detail_310;01.12.2014;10.13;;;;21617
detail_311;18.08.2017;84.96;;;;21626
detail_312;17.03.2015;19.65;;;;9977
detail_313;22.07.2015;49.08;;;;9977
detail_314;02.07.2015;10.4;;;;21657
detail_315;28.03.2017;10.73;;;;11337
detail_316;21.03.2017;4.36;;;;12210
detail_317;25.05.2023;1.61;;;;13080
detail_318;30.08.2019;49;;;;11041
detail_319;18.08.2017;2.69;;;;19856
detail_320;06.09.2012;8.02;;;;19856
detail_321;27.08.2013;3.98;;;;10635
detail_322;26.09.2015;5.63;;;;19862
detail_323;20.08.2017;12;;;;11544
detail_324;11.10.2017;4.04;;;;9809
detail_325;29.09.2016;137.27;;;;12831
detail_326;02.12.2016;7.2;;;;9995
detail_327;10.04.2019;17.4;;;;19914
detail_328;22.12.2017;0.4;;;;9799
detail_329;17.08.2016;4.48;;;;19944
detail_330;26.09.2016;30.2;;;;19954
detail_331;21.12.2016;6.21;;;;9890
detail_332;28.04.2015;2.35;;;;19975
detail_333;04.11.2020;29;;;;14623
detail_334;26.08.2020;30.72;;;;26290
detail_335;06.06.2014;1.1;;;;11590
detail_336;05.09.2017;1.97;;;;20002
detail_337;10.04.2018;1.55;;;;12127
detail_338;29.01.2021;2.97;;;;12207
detail_339;24.03.2020;13.29;;;;20033
detail_340;17.06.2020;45.95;;;;11090
detail_341;19.09.2018;8.44;;;;11094
detail_342;09.10.2017;1.2;;;;11234
detail_343;22.06.2020;6.18;;;;13085
detail_344;24.03.2015;3.5;;;;20077
detail_345;28.07.2017;2.27;;;;20097
detail_346;29.12.2017;13.98;;;;9781
detail_347;14.09.2017;0.65;;;;12992
detail_348;26.09.2012;70;;;;12998
detail_349;24.07.2015;66.3;;;;12998
detail_350;31.07.2017;1.7;;;;9948
detail_351;15.11.2017;1.47;;;;11162
detail_352;28.04.2010;2.55;;;;11162
detail_353;21.04.2021;4.1;;;;11523
detail_354;21.04.2021;4.1;;;;11523
detail_355;01.07.2020;5.17;;;;20122
detail_356;09.02.2017;3.48;;;;10545
detail_357;14.08.2023;70;;;;14630
detail_358;15.10.2013;25.88;;;;13002
detail_359;17.12.2015;26.52;;;;20148
detail_360;14.06.2017;104.7;;;;21884
detail_361;16.02.2018;0.6;;;;21930
detail_362;28.09.2012;186.56;;;;21965
detail_363;29.08.2017;34.98;;;;21965
detail_364;27.03.2015;102.82;;;;21977
detail_365;20.02.2012;115.67;;;;21977
detail_366;13.07.2018;18.4;;;;9745
detail_367;06.03.2017;19.62;;;;13086
detail_368;28.11.2017;1.47;;;;22000
detail_369;16.11.2017;1.94;;;;11116
detail_370;13.02.2017;0.96;;;;11180
detail_371;27.02.2015;20.5;;;;10230
