year;nrElcom;nomEw;link;tarif1;tarif2;tarif3;explText;counterCost;loadCurveCost;nbrPowerCat;power1;energy1;eco1;energyAuto1;ecoAuto1;power2;energy2;eco2;energyAuto2;ecoAuto2;power3;energy3;eco3;energyAuto3;ecoAuto3;power4;htnt;stwt;ecoIncl;autot;energy1_bfe;energy1_ht;energy1_nt;energy1_wht;energy1_wnt;energyAuto1_bfe;energyAuto1_ht;energyAuto1_nt;energyAuto1_wht;energyAuto1_wnt;energy2_bfe;energy2_ht;energy2_nt;energy2_wht;energy2_wnt;energyAuto2_bfe;energyAuto2_ht;energyAuto2_nt;energyAuto2_wht;energyAuto2_wnt;energy3_bfe;energy3_ht;energy3_nt;energy3_wht;energy3_wnt;energyAuto3_bfe;energyAuto3_ht;energyAuto3_nt;energyAuto3_wht;energyAuto3_wnt;ht_mofr_on;ht_mofr_off;ht_sa_on;ht_sa_off;ht_su_on;ht_su_off;neg;neg_text;pos;pos_text;leist;leist_power;leist_tax
2024;364;Elektrizitätsverwaltung Staufen;https://www.staufen.ch;https://www.staufen.ch/public/upload/assets/3530/Stromtarife%202024.pdf?fp=1693816835613;;;;;;1;0;20.3;0;20.3;0;3000;;;;;;;;;;;;;;;;20.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;815;Elektra-Genossenschaft Homburg;https://www.eghomburg.ch/;https://www.eghomburg.ch/uploads/1/2/0/2/120244568/tarifblatt_2024.pdf;;;;;;2;0;18;2;18;2;30;18;0;18;0;3000;;;;;;y;;;;;18;18;;;;;;;;;18;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;517;Energie- und Wasserversorgung Ins;https://www.ins.ch/de/verwaltung/abteilungen/detail.php?i=5;https://www.ins.ch/wAssets/docs/dokumente/reglemente/Gebuehrenverordnung-Stromeinspeisungen-01.01.2024.pdf;;;;;;1;0;17;2;17;2;3000;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;754;Technische Betriebe St. Margrethen;https://www.stmargrethen.ch/politik-verwaltung/verwaltung/abteilungen-aemter/technische-betriebe.html/226;https://www.stmargrethen.ch/public/upload/assets/3419/Energie-%20und%20Netznutzungstarife%202024%20mit%20Ersatzlieferung.pdf?fp=1710514844046;;;;;;2;0;14;2.5;14;2.5;12;14;0;14;0;3000;;;;;;;;;;;14;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;585;Gemeindewerke Arth;https://gwa-energie.ch/;https://gwa-energie.ch/upload/dokumente/strom/Preisblatt_GWA_Strom_Haushalt_2024.pdf;;;;;;1;0;16.2;1;16.2;1;3000;;;;;;;;;;;;;;;;16.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;667;Regionalwerke AG Baden;https://www.regionalwerke.ch;https://www.regionalwerke.ch/fileadmin/dok/angbote/RWB_Preisblatt_Energie_2024_Stromruecklieferung.pdf;;;;;;1;0;17.2;2;17.2;2;3000;;;;;;;;;;;;;;;;17.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;785;Technische Betriebe Glarus;https://www.tbglarus.ch;https://www.tbglarus.ch/userdata/Kundenservice/08_Downloads/01_Produkte_Preise/Preisblaetter_Strom_2024.pdf;;;;;;3;0;12;5;12;5;30;9;0;9;0;200;7.5;0;7.5;0;3000;;;;;;12;;;;;;;;;;9;;;;;;;;;;7.5;;;;;;;;;;;;;;;;;;;;;
2024;707;Services Techniques Tramelan;https://set.tramelan.ch/set/Particuliers/Production-renouvelable.html;https://set.tramelan.ch/set/Particuliers/Production-renouvelable.html;;;;;;1;0;13;4;13;4;30;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;634;Genossenschaft Licht- und Kraftwerke Glattfelden;https://www.lkwg.ch;https://www.lkwg.ch/wp-content/uploads/2024/02/TaO24_LKWG-finale-Version-28.8.23.pdf;;;;;;1;0;13.57;0;13.57;0;3000;;;;;;;;;;;;;;;;13.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;468;St. Moritz Energie;https://www.stmoritz-energie.ch;https://www.stmoritz-energie.ch/fileadmin/user_upload/PDF/Tarife/20220809_ARAVE__2024.pdf;;;;;;1;0;18;4;18;4;3000;;;;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;596;Werke am Zürichsee (Zollikon);https://www.werkezuerichsee.ch/;https://werkezuerichsee.ch/wp-content/uploads/seiten/strom/verguetung-fuer-energie-aus-ruecklieferanlagen-2024.pdf;;;;;;1;0;16.98;0;16.98;0;3000;;;;;;;;;;;y;;;;;17.45;15.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;20;7;13;0;0;;;;;;;
2024;37;CKW AG;https://www.ckw.ch;https://www.ckw.ch/energie/strom/ruecklieferverguetung;;;Vergütung zum BFE-Referenzmarktpreis, ausser für Anlagen unter 30 kVA, welche einen Minimalquartalspreis von 4.6 Rp/kWh erhilten, falls der Marktpreis tiefer sank.;;;3;0;5.29;2;5.29;2;30;4.41;2;4.41;2;100;4.41;1;4.41;1;3000;;;;;y;5.29;;;;;;;;;;4.41;;;;;;;;;;4.41;;;;;;;;;;;;;;;;;;;;;
2024;27;Azienda Elettrica Lostallo;http://www.aemoesano.ch/;http://www.aemoesano.ch/data/uploads/pdf/tariffe-mme-2024.pdf;;;;;;2;0;15.4;0;15.4;0;30;14.9;0;14.9;0;100;;;;;;;;;;;15.4;;;;;;;;;;14.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
